,Feature,importance
0,lmt,211.4
1,lmt_count,171.4
2,residentAddr_rank,168.5
3,lmt_rank,160.2
4,age,160.1
5,setupHour,151.7
6,certloss_bankCard,149.0
7,weekday_rank,146.0
8,x_count,142.7
9,linkRela,138.4
10,certloss_highestEdu,138.4
11,day,133.4
12,bankCard,133.1
13,certId,131.1
14,distance,129.7
15,dist_count,127.1
16,certId_rank,124.0
17,dist_rank,116.8
18,certloss_linkRela,116.1
19,x_var,114.2
20,setupHour_count,111.8
21,basicLevel,111.1
22,loanProduct,110.5
23,bankCard_rank,100.9
24,edu,99.3
25,residentAddr_count,98.5
26,ethnic_rank,87.4
27,highestEdu,85.4
28,x_33,83.7
29,weekday_count,81.3
30,certloss_residentAddr,79.4
31,linkRela_certId_count,77.8
32,residentAddr_certId_count,77.4
33,residentAddr,77.2
34,1_count,72.4
35,jobloss_bankCard,70.5
36,jobloss_residentAddr,69.4
37,distance2,60.8
38,job_count,59.5
39,bankCard_certId_count,59.1
40,weekday,56.3
41,lmt_nuniquecertId,56.0
42,0_count,50.3
43,x_46,48.7
44,time_range,48.2
45,x_68,44.5
46,x_67,43.3
47,x_34,41.6
48,dist,40.5
49,gender,40.4
50,x_41,40.3
51,x_29,37.1
52,highestEdu_certId_count,33.1
53,x_43,31.9
54,x_55,31.2
55,x_14,31.0
56,x_45,30.3
57,jobloss_highestEdu,28.4
58,job,27.1
59,x_62,26.1
60,x_72,25.5
61,ethnic,25.3
62,x_75,24.7
63,bankCard_count,23.6
64,x_53,19.8
65,x_50,19.4
66,lmt_nuniquebankCard,18.9
67,ethnic_count,17.5
68,x_28,16.4
69,x_64,15.9
70,x_71,14.2
71,jobloss_linkRela,12.0
72,x_0,11.3
73,x_20,11.1
74,x_27,10.6
75,bankCard_job_count,8.5
76,certId_count,7.7
77,x_16,5.6
78,x_48,1.9
79,ncloseCreditCard,0.9
80,x_57,0.0
81,x_60,0.0
82,x_7,0.0
83,x_56,0.0
84,x_70,0.0
85,x_6,0.0
86,x_58,0.0
87,x_59,0.0
88,x_78,0.0
89,x_8,0.0
90,x_5,0.0
91,x_9,0.0
92,x_77,0.0
93,linkRela_loan_count,0.0
94,x_42,0.0
95,x_18,0.0
96,isNew,0.0
97,highestEdu_loan_count,0.0
98,highestEdu_job_count,0.0
99,residentAddr_loan_count,0.0
100,bankcard_null,0.0
101,bankCard_loan_count,0.0
102,x_1,0.0
103,x_10,0.0
104,x_11,0.0
105,x_13,0.0
106,x_15,0.0
107,x_17,0.0
108,x_19,0.0
109,x_40,0.0
110,x_2,0.0
111,x_21,0.0
112,x_22,0.0
113,x_23,0.0
114,x_24,0.0
115,x_3,0.0
116,x_31,0.0
117,x_36,0.0
118,x_37,0.0
119,x_38,0.0
120,x_39,0.0
121,x_4,0.0
122,x_32,0.0
